Active Substance	Compound	Comment	Mol mass a.i.	Mol mass met.	Water solubility	KOC assessed compound	KOC parent compound	DT50	Max. in Water	Max. in Soil asessed compound	App. Rate	Number of App.	Time between app.	App. Type	DT50 soil parent compound	DT50 soil	DT50 water	DT50 sediment	Region / Season	Interception class
Dummy 1	Dummy 1	Potatoes, Southern Europe, spring, 1 app/season, soil incorporation	  -99.00	  -99.00	 6000.00	  344.80	0.00E+00	    6.00	  100.00	  100.00	 3000.00	    1.00	0.00E+00	   28.00	 1000.00	    6.00	    6.00	    6.00	    4.00	    1.00
Dummy 2	Dummy 2	Maize, Southern Europe, spring, 1 app/season	  100.00	  -99.00	   30.00	  110.00	0.00E+00	   26.00	0.00E+00	0.00E+00	 1000.00	    1.00	0.00E+00	    8.00	 1000.00	   56.00	   26.00	   26.00	    4.00	    1.00
Dummy 3	Dummy 3	Winter wheat,, Northern  Europe, spring, 1 app/season	0.00E+00	  -99.00	  620.00	    1.00	0.00E+00	    1.50	0.00E+00	0.00E+00	 1000.00	    1.00	0.00E+00	    1.00	 1000.00	    4.00	    1.50	    1.50	    1.00	    1.00
Dummy 4	Dummy 4	Apples, Southern  Europe, spring, 3 app./season, 14 d int, orchards	0.00E+00	  -99.00	2.00E-03	  970.00	0.00E+00	    4.00	0.00E+00	0.00E+00	    7.50	    3.00	   14.00	   12.00	 1000.00	   19.00	    4.00	    4.00	    4.00	    1.00
Dummy 5	Dummy 5	Vines, Northern Europe, spring, 5 app/seaon 14 d int.	0.00E+00	  -99.00	    1.15	  860.00	0.00E+00	  118.00	0.00E+00	0.00E+00	   75.00	    5.00	   14.00	   23.00	 1000.00	  250.00	    6.00	  118.00	    1.00	    1.00
Dummy 6	Dummy 6	Cereals, Northern Europe, spring, 1 app/season	0.00E+00	  -99.00	 6000.00	   66.00	0.00E+00	   24.00	0.00E+00	0.00E+00	  400.00	    1.00	0.00E+00	0.00E+00	 1000.00	   28.00	   24.00	   24.00	    1.00	    1.00
Dummy 6	Dummy 6	Cereals, Southern Europe, spring, 1 app/seaon	0.00E+00	  -99.00	  200.00	   66.00	0.00E+00	   24.00	0.00E+00	0.00E+00	  200.00	    1.00	0.00E+00	0.00E+00	 1000.00	   28.00	   24.00	   24.00	    4.00	    1.00
Dummy 7	Dummy 7	Vines, Southern Europe, spring, 4 app/seaon 14 d int.	0.00E+00	  -99.00	    2.60	  500.00	0.00E+00	   28.00	0.00E+00	0.00E+00	  750.00	    4.00	   14.00	   23.00	 1000.00	   50.00	    2.50	   28.00	    4.00	    1.00
New Dummy	Metabolite M1	Soil Metabolite	  250.00	  100.00	  100.00	   50.00	  100.00	  100.00	0.00E+00	   50.00	 1000.00	    1.00	0.00E+00	    1.00	   10.00	   20.00	   10.00	  100.00	0.00E+00	    1.00
New Dummy	Metabolite M2	Water Metabolite	  250.00	  100.00	  100.00	   50.00	  100.00	  100.00	   50.00	0.00E+00	 1000.00	    1.00	0.00E+00	    1.00	   10.00	   20.00	   10.00	  100.00	0.00E+00	    1.00
New Dummy	Metabolite M3	Soil and Water Metabolite	  250.00	  100.00	  100.00	   50.00	  100.00	  100.00	   50.00	   50.00	 1000.00	    1.00	0.00E+00	    1.00	   10.00	   20.00	   10.00	  100.00	0.00E+00	    1.00
